,0
0,Arizona
1,Indiana
2,Iowa
3,Kansas
4,Louisiana
5,Maryland
6,Massachusetts
7,Minnesota
8,Montana
9,Nevada
10,New Jersey
11,New Mexico
12,Oklahoma
13,Oregon
14,Pennsylvania
15,Wisconsin
16,Wyoming
